Date : 2024-05-07 20:42:40
Directory : c:\Users\subar\OneDrive\Desktop\Diplome
Total : 139 files,  68428 codes, 54 comments, 609 blanks, all 69091 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\headerCover.glb.log               | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\headerExhaustNShield.glb.log      | Log        |        669 |          0 |          1 |        670 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\injectors.glb.log                 | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\intakeChamber.glb.log             | Log        |        566 |          0 |          1 |        567 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\oilFilter.glb.log                 | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\oilPan.glb.log                    | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\powersteering.glb.log             | Log        |        524 |          0 |          1 |        525 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\sparkCoil.glb.log                 | Log        |        639 |          0 |          1 |        640 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\starter.glb.log                   | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\tensionerNBelts.glb.log           | Log        |        706 |          0 |          1 |        707 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\throttlebody.glb.log              | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\timingBeltCover.glb.log           | Log        |        627 |          0 |          1 |        628 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\turbo.glb.log                     | Log        |        609 |          0 |          1 |        610 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\i4\waterpump.glb.log                 | Log        |        530 |          0 |          1 |        531 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\alter.glb.log                 | Log        |        615 |          0 |          1 |        616 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\carb.glb.log                  | Log        |        542 |          0 |          1 |        543 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\chainNCover.glb.log           | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\counterweight.glb.log         | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\crankshaft.glb.log            | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\distributor.glb.log           | Log        |        621 |          0 |          1 |        622 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\endplate.glb.log              | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\exhaust.glb.log               | Log        |        542 |          0 |          1 |        543 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\fan.glb.log                   | Log        |        603 |          0 |          1 |        604 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\filter.glb.log                | Log        |        791 |          0 |          1 |        792 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\frontEndplate.glb.log         | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\harm.glb.log                  | Log        |        524 |          0 |          1 |        525 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\housing.glb.log               | Log        |        518 |          0 |          1 |        519 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\intakeMani.glb.log            | Log        |        542 |          0 |          1 |        543 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\midplate.glb.log              | Log        |        688 |          0 |          1 |        689 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\oilpan.glb.log                | Log        |        548 |          0 |          1 |        549 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\overview.glb.log              | Log        |      1,538 |          0 |          1 |      1,539 |
| c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\rotor.glb.log                 | Log        |        518 |          0 |          1 |        519 |
