"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\engButtonsMisc.js", "JavaScript", 87, 0, 12, 99
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\fwdButtons.js", "JavaScript", 5, 0, 0, 5
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quiz.js", "JavaScript", -80, -8, -20, -108
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizDri.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizEng.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizGen.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\quizSus.js", "JavaScript", 87, 7, 21, 115
"c:\Users\subar\OneDrive\Desktop\Diplome\scripts\rwdButtons.js", "JavaScript", 7, 0, 0, 7
"Total", "-", 367, 20, 76, 463
