"filename", "language", "JavaScript", "Log", "CSS", "comment", "blank", "total"
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\distributor.glb.log", "Log", 0, -621, 0, 0, -1, -622
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\endplate.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\exhaust.glb.log", "Log", 0, -542, 0, 0, -1, -543
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\fan.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\filter.glb.log", "Log", 0, -791, 0, 0, -1, -792
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\frontEndplate.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\harm.glb.log", "Log", 0, -524, 0, 0, -1, -525
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\housing.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\intakeMani.glb.log", "Log", 0, -542, 0, 0, -1, -543
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\midplate.glb.log", "Log", 0, -688, 0, 0, -1, -689
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\oilpan.glb.log", "Log", 0, -548, 0, 0, -1, -549
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\overview.glb.log", "Log", 0, -1538, 0, 0, -1, -1539
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\rotor.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\spark.glb.log", "Log", 0, -621, 0, 0, -1, -622
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\tensBelt.glb.log", "Log", 0, -724, 0, 0, -1, -725
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\timingCover.glb.log", "Log", 0, -578, 0, 0, -1, -579
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\water.glb.log", "Log", 0, -536, 0, 0, -1, -537
"c:\Users\subar\OneDrive\Desktop\Diplome\models\rotary\waterpump.glb.log", "Log", 0, -536, 0, 0, -1, -537
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\brakes.glb.log", "Log", 0, -688, 0, 0, -1, -689
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\conBot.glb.log", "Log", 0, -712, 0, 0, -1, -713
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\conTop.glb.log", "Log", 0, -706, 0, 0, -1, -707
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\disk.glb.log", "Log", 0, -603, 0, 0, -1, -604
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\hub.glb.log", "Log", 0, -518, 0, 0, -1, -519
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\hubMain.glb.log", "Log", 0, -688, 0, 0, -1, -689
"c:\Users\subar\OneDrive\Desktop\Diplome\models\suspension\new\overview.glb.log", "Log", 0, -1595, 0, 0, -1, -1596
